诗歌标题,朝代,诗人,诗歌内容,解析
春晓,唐代,孟浩然,春眠不觉晓，处处闻啼鸟。夜来风雨声，花落知多少。,https://so.gushiwen.cn/shiwenv_ccee5691ba93.aspx
赠汪伦,唐代,李白,李白乘舟将欲行，忽闻岸上踏歌声。桃花潭水深千尺，不及汪伦送我情。,https://so.gushiwen.cn/shiwenv_ca9eaf40a6ce.aspx
清明,唐代,杜牧,清明时节雨纷纷，路上行人欲断魂。借问酒家何处有？牧童遥指杏花村。,https://so.gushiwen.cn/shiwenv_d3e3283daac5.aspx
咏鹅,唐代,骆宾王,鹅，鹅，鹅，曲项向天歌。白毛浮绿水，红掌拨清波。,https://so.gushiwen.cn/shiwenv_eeb3869b6242.aspx
咏柳,唐代,贺知章,碧玉妆成一树高，万条垂下绿丝绦。不知细叶谁裁出，二月春风似剪刀。,https://so.gushiwen.cn/shiwenv_9936770100ef.aspx
登鹳雀楼,唐代,王之涣,白日依山尽，黄河入海流。欲穷千里目，更上一层楼。,https://so.gushiwen.cn/shiwenv_c90ff9ea5a71.aspx
宿建德江,唐代,孟浩然,移舟泊烟渚，日暮客愁新。野旷天低树，江清月近人。,https://so.gushiwen.cn/shiwenv_63d3ff8f6b61.aspx
凉州词,唐代,王翰,葡萄美酒夜光杯，欲饮琵琶马上催。醉卧沙场君莫笑，古来征战几人回？,https://so.gushiwen.cn/shiwenv_9312f5349cd7.aspx
出塞,唐代,王昌龄,秦时明月汉时关，万里长征人未还。但使龙城飞将在，不教胡马度阴山。,https://so.gushiwen.cn/shiwenv_b9e14c6e09aa.aspx
芙蓉楼送辛渐,唐代,王昌龄,寒雨连江夜入吴，平明送客楚山孤。洛阳亲友如相问，一片冰心在玉壶。,https://so.gushiwen.cn/shiwenv_f433a64dd504.aspx
九月九日忆山东兄弟,唐代,王维,独在异乡为异客，每逢佳节倍思亲。遥知兄弟登高处，遍插茱萸少一人。,https://so.gushiwen.cn/shiwenv_d75a706935de.aspx
送元二使安西,唐代,王维,渭城朝雨浥轻尘，客舍青青柳色新。劝君更尽一杯酒，西出阳关无故人。,https://so.gushiwen.cn/shiwenv_12a2295aa76b.aspx
静夜思,唐代,李白,床前明月光，疑是地上霜。举头望明月，低头思故乡。,https://so.gushiwen.cn/shiwenv_c35a60c1a8e2.aspx
黄鹤楼送孟浩然之广陵,唐代,李白,故人西辞黄鹤楼，烟花三月下扬州。孤帆远影碧空尽，唯见长江天际流。 (唯 通：惟),https://so.gushiwen.cn/shiwenv_d3f231047aef.aspx
独坐敬亭山,唐代,李白,众鸟高飞尽，孤云独去闲。相看两不厌，只有敬亭山。(只有 一作：唯有),https://so.gushiwen.cn/shiwenv_1da5349ad9e4.aspx
题西林壁,宋代,苏轼,横看成岭侧成峰，远近高低各不同。不识庐山真面目，只缘身在此山中。,https://so.gushiwen.cn/shiwenv_f2f5469a6044.aspx
早发白帝城,唐代,李白,朝辞白帝彩云间，千里江陵一日还。两岸猿声啼不住，轻舟已过万重山。,https://so.gushiwen.cn/shiwenv_0f81015a040c.aspx
望庐山瀑布,唐代,李白,日照香炉生紫烟，遥看瀑布挂前川。飞流直下三千尺，疑是银河落九天。,https://so.gushiwen.cn/shiwenv_62802abab937.aspx
逢雪宿芙蓉山主人,唐代,刘长卿,日暮苍山远，天寒白屋贫。柴门闻犬吠，风雪夜归人。,https://so.gushiwen.cn/shiwenv_d61bf6c27218.aspx
大林寺桃花,唐代,白居易,人间四月芳菲尽，山寺桃花始盛开。 长恨春归无觅处，不知转入此中来。,https://so.gushiwen.cn/shiwenv_5e26797704a7.aspx
问刘十九,唐代,白居易,绿蚁新醅酒，红泥小火炉。晚来天欲雪，能饮一杯无？,https://so.gushiwen.cn/shiwenv_d09fef17613b.aspx
赠刘景文,宋代,苏轼,荷尽已无擎雨盖，菊残犹有傲霜枝。一年好景君须记，最是橙黄橘绿时。(最是 一作：正是),https://so.gushiwen.cn/shiwenv_c987db20a4d7.aspx
惠崇春江晚景二首,宋代,苏轼,竹外桃花三两枝，春江水暖鸭先知。蒌蒿满地芦芽短，正是河豚欲上时。两两归鸿欲破群，依依还似北归人。遥知朔漠多风雪，更待江南半月春。,https://so.gushiwen.cn/shiwenv_84b5b3488790.aspx
六月二十七日望湖楼醉书,宋代,苏轼,黑云翻墨未遮山，白雨跳珠乱入船。卷地风来忽吹散，望湖楼下水如天。,https://so.gushiwen.cn/shiwenv_0eda7b78250a.aspx
山行,唐代,杜牧,远上寒山石径斜，白云生处有人家。(生处 一作：深处)停车坐爱枫林晚，霜叶红于二月花。,https://so.gushiwen.cn/shiwenv_3c36881bd247.aspx
江南春,唐代,杜牧,千里莺啼绿映红，水村山郭酒旗风。南朝四百八十寺，多少楼台烟雨中。,https://so.gushiwen.cn/shiwenv_33cbdb2cf9b3.aspx
江上渔者,宋代,范仲淹,江上往来人，但爱鲈鱼美。君看一叶舟，出没风波里。,https://so.gushiwen.cn/shiwenv_4b21381d3a76.aspx
元日,宋代,王安石,爆竹声中一岁除，春风送暖入屠苏。千门万户曈曈日，总把新桃换旧符。,https://so.gushiwen.cn/shiwenv_a167901c9c90.aspx
泊船瓜洲,宋代,王安石,京口瓜洲一水间，钟山只隔数重山。春风又绿江南岸，明月何时照我还。(又绿 一作：自绿),https://so.gushiwen.cn/shiwenv_df14e6fd217b.aspx
鹿柴,唐代,王维,空山不见人，但闻人语响。返景入深林，复照青苔上。,https://so.gushiwen.cn/shiwenv_e9b1a8b4def0.aspx
示儿,宋代,陆游,死去元知万事空，但悲不见九州同。王师北定中原日，家祭无忘告乃翁。,https://so.gushiwen.cn/shiwenv_966c8a76211f.aspx
小池,宋代,杨万里,泉眼无声惜细流，树阴照水爱晴柔。(阴 一作：荫)小荷才露尖尖角，早有蜻蜓立上头。,https://so.gushiwen.cn/shiwenv_31dd7d07323c.aspx
村居,清代,高鼎,草长莺飞二月天，拂堤杨柳醉春烟。儿童散学归来早，忙趁东风放纸鸢。,https://so.gushiwen.cn/shiwenv_425fb837c387.aspx
所见,清代,袁枚,牧童骑黄牛，歌声振林樾。意欲捕鸣蝉，忽然闭口立。,https://so.gushiwen.cn/shiwenv_58699ebb5e93.aspx
石灰吟,明代,于谦,千锤万凿出深山，烈火焚烧若等闲。(万凿 一作：万击)粉骨碎身浑不怕，要留清白在人间。(浑不怕 一作：全不怕),https://so.gushiwen.cn/shiwenv_c6c93895df0a.aspx
竹石,清代,郑燮,咬定青山不放松，立根原在破岩中。千磨万击还坚劲，任尔东西南北风。,https://so.gushiwen.cn/shiwenv_e5c9337524b7.aspx
游园不值,宋代,叶绍翁,应怜屐齿印苍苔，小扣柴扉久不开。春色满园关不住，一枝红杏出墙来。,https://so.gushiwen.cn/shiwenv_a31b957aba53.aspx
梅花,宋代,王安石,墙角数枝梅，凌寒独自开。遥知不是雪，为有暗香来。,https://so.gushiwen.cn/shiwenv_846e626d74d3.aspx
寻隐者不遇,唐代,贾岛,松下问童子，言师采药去。只在此山中，云深不知处。,https://so.gushiwen.cn/shiwenv_40954072f541.aspx
别董大二首,唐代,高适,千里黄云白日曛，北风吹雁雪纷纷。莫愁前路无知己，天下谁人不识君。六翮飘飖私自怜，一离京洛十余年。丈夫贫贱应未足，今日相逢无酒钱。,https://so.gushiwen.cn/shiwenv_b7289fb613af.aspx
赠花卿,唐代,杜甫,锦城丝管日纷纷，半入江风半入云。 此曲只应天上有，人间能得几回闻。,https://so.gushiwen.cn/shiwenv_a6286328b778.aspx
枫桥夜泊,唐代,张继,月落乌啼霜满天，江枫渔火对愁眠。姑苏城外寒山寺，夜半钟声到客船。,https://so.gushiwen.cn/shiwenv_6fb73f607ad3.aspx
望天门山,唐代,李白,天门中断楚江开，碧水东流至此回。两岸青山相对出，孤帆一片日边来。,https://so.gushiwen.cn/shiwenv_97e6296bfb8d.aspx
江南逢李龟年,唐代,杜甫,岐王宅里寻常见，崔九堂前几度闻。正是江南好风景，落花时节又逢君。,https://so.gushiwen.cn/shiwenv_514b8bc0ee4f.aspx
乌衣巷,唐代,刘禹锡,朱雀桥边野草花，乌衣巷口夕阳斜。 旧时王谢堂前燕，飞入寻常百姓家。,https://so.gushiwen.cn/shiwenv_8b671db8c10d.aspx
